;Calories (kcal);Calories burned (kcal);Fat (g);Saturated (g);Polyunsaturated (g);Monounsaturated (g);Trans (g);Cholesterol (mg);Salt (g);Sodium (mg);Potassium (mg);Carbohydrate (g);Net carbs (g);Dietary fiber (g);Sugars (g);Sugar alcohols (g);Protein (g);Vitamin A (%);Vitamin C (%);Calcium (%);Iron (%);Magnesium (mg)
5/10/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9/9/2020;260;0;23;0;0;0;0;0;0;0;0;1;1;0;0;0;14;0;0;0;0;0
8/9/2020;1334;0;99;0;0;0;0;0;0;0;0;28;28;0;0;0;82;0;0;0;0;0
7/9/2020;1579;0;104;0;0;0;0;0;0;0;0;42;42;0;0;0;119;0;0;0;0;0
6/9/2020;646;0;61;0;0;0;0;0;0;0;0;18;18;0;0;0;6;0;0;0;0;0
5/9/2020;889;0;45;0;0;0;0;0;0;0;0;11;11;0;0;0;112;0;0;0;0;0
4/9/2020;1536;0;114;0;0;0;0;0;0;0;0;22;22;0;0;0;107;0;0;0;0;0
3/9/2020;1435;0;100;0;0;0;0;0;0;0;0;23;23;0;0;0;113;0;0;0;0;0
2/9/2020;1674;0;122;0;0;0;0;0;0;0;0;20;20;0;0;0;123;0;0;0;0;0
1/9/2020;1645;0;116;0;0;0;0;0;0;0;0;26;26;0;0;0;126;0;0;0;0;0
31/8/2020;1497;0;116;0;0;0;0;0;0;0;0;22;22;0;0;0;93;0;0;0;0;0
30/8/2020;1653;0;127;0;0;0;0;0;0;0;0;24;24;0;0;0;105;0;0;0;0;0
29/8/2020;1582;0;121;0;0;0;0;0;0;0;0;23;23;0;0;0;99;0;0;0;0;0
28/8/2020;1838;0;144;0;0;0;0;0;0;0;0;22;22;0;0;0;115;0;0;0;0;0
27/8/2020;1759;0;138;0;0;0;0;0;0;0;0;11;11;0;0;0;119;0;0;0;0;0
26/8/2020;1593;0;110;0;0;0;0;0;0;0;0;20;20;0;0;0;133;0;0;0;0;0
25/8/2020;1343;0;88;0;0;0;0;0;0;0;0;22;22;0;0;0;116;0;0;0;0;0
24/8/2020;1585;0;112;0;0;0;0;0;0;0;0;24;24;0;0;0;121;0;0;0;0;0
23/8/2020;1638;0;131;0;0;0;0;0;0;0;0;26;26;0;0;0;89;0;0;0;0;0
22/8/2020;1692;0;131;0;0;0;0;0;0;0;0;16;16;0;0;0;113;0;0;0;0;0
21/8/2020;1596;0;116;0;0;0;0;0;0;0;0;17;17;0;0;0;121;0;0;0;0;0
20/8/2020;1453;0;117;0;0;0;0;0;0;0;0;18;18;0;0;0;82;0;0;0;0;0
16/8/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
